Course ID,Course Name,,,,,,,Ratings,Users Reviewed,Hours,Lectures,Tags
1,The Complete Node.js Developer Course (3rd Edition),,,,,,,4.7,42855,34.5,177,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
2,Learn and Understand NodeJS,,,,,,,4.5,22520,13,97,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
3,Angular & NodeJS - The MEAN Stack Guide [2020 Edition],,,,,,,4.6,15423,12.5,149,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
4,Node with React: Fullstack Web Development,,,,,,,4.7,10719,26,207,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
5,Node.js: The Complete Guide to Build RESTful APIs (2018),,,,,,,4.6,7664,15,224,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
6,"Node.js',' Express',' MongoDB & More: The Complete Bootcamp 2020",,,,,,,4.7,2706,42,227,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
7,Node.js API Masterclass With Express & MongoDB,,,,,,,4.8,1412,12,76,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
8,Build NodeJS applications with Mongodb,,,,,,,4.5,698,4.5,59,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
9,Node.js REST API with Express & MongoDB - Solid Architecture,,,,,,,4.6,97,3,29,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
10,Build a Stock Market Web App With Node and Javascript,,,,,,,4.9,48,2,29,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
11,Node JS: Advanced Concepts,,,,,,,4.7,4327,16,166,"['webdev','nodejs','MERNStack','ContinuousIntegration','NestJS','Angular','Jenkins','Typescript','KoaFramework','GitLab','React','MEANStack','hapi.js','AngularJS','JavaScript','GraphQL','MongoDB','RESTful API','AdonisJs','WebStorm']"
